Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-08-29,Fantastic Four: Rise of the Silver Surfer,2007,https://boxd.it/3aTvB7,2.5,,,2022-08-28
2022-08-29,Spider-Man 3,2007,https://boxd.it/3aTvD3,2,,,2022-08-28
2022-08-29,Zodiac,2007,https://boxd.it/3aTvFt,3.5,,,2022-08-28
2022-08-29,Casino Royale,2006,https://boxd.it/3aTvHz,3,,,2022-08-28
2022-08-29,The Prestige,2006,https://boxd.it/3aTvJv,5,,,2022-08-28
2022-08-29,The Departed,2006,https://boxd.it/3aTvMf,4.5,,,2022-08-28
2022-08-29,Stranger Than Fiction,2006,https://boxd.it/3aTvOl,3,,,2022-08-28
2022-08-29,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/3aTvRf,4,,,2022-08-28
2022-08-29,Talladega Nights: The Ballad of Ricky Bobby,2006,https://boxd.it/3aTvTb,3,,,2022-08-28
2022-08-29,Click,2006,https://boxd.it/3aTvV7,3.5,,,2022-08-28
2022-08-29,The Break-Up,2006,https://boxd.it/3aTvWp,3,,,2022-08-28
2022-08-29,Cars,2006,https://boxd.it/3aTvZj,2.5,,,2022-08-28
2022-08-29,Harry Potter and the Goblet of Fire,2005,https://boxd.it/3aTw1z,4,,,2022-08-28
2022-08-29,The 40 Year Old Virgin,2005,https://boxd.it/3aTw3Z,3,,,2022-08-28
2022-08-29,Wedding Crashers,2005,https://boxd.it/3aTw57,2.5,,,2022-08-28
2022-08-29,Fantastic Four,2005,https://boxd.it/3aTw6T,3,,,2022-08-28
2022-08-29,Mr. & Mrs. Smith,2005,https://boxd.it/3aTw8Z,2.5,,,2022-08-28
2022-08-29,Batman Begins,2005,https://boxd.it/3aTwaV,3,,,2022-08-28
2022-08-29,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/3aTwcH,3,,,2022-08-28
2022-08-29,The Incredibles,2004,https://boxd.it/3aTwnv,4,,,2022-08-28
2022-08-29,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/3aTwpV,3.5,,,2022-08-28
2022-08-29,Spider-Man 2,2004,https://boxd.it/3aTwrn,4.5,,,2022-08-28
2022-08-29,White Chicks,2004,https://boxd.it/3aTwuh,2,,,2022-08-28
2022-08-29,DodgeBall: A True Underdog Story,2004,https://boxd.it/3aTwwH,3,,,2022-08-28
2022-08-29,Napoleon Dynamite,2004,https://boxd.it/3aTwxZ,3.5,,,2022-08-28
2022-08-29,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/3aTwzV,4,,,2022-08-28
2022-08-29,Harold & Kumar Go to White Castle,2004,https://boxd.it/3aTwBH,2.5,,,2022-08-28
2022-08-29,Shrek 2,2004,https://boxd.it/3aTwF5,3,,,2022-08-28
2022-08-29,Mean Girls,2004,https://boxd.it/3aTwGd,4,,,2022-08-28
2022-08-29,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/3aTwHF,4,,,2022-08-28
2022-08-29,The Girl Next Door,2004,https://boxd.it/3aTwJr,3.5,,,2022-08-28
